time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,3,3,86,28
2026-06-28 00:00:00+00:00,25,14,61,14
2026-06-29 00:00:00+00:00,127,44,16,10
2026-06-30 00:00:00+00:00,20,11,29,7
2026-07-01 00:00:00+00:00,4,4,9,4
2026-07-02 00:00:00+00:00,3,3,33,14
2026-07-03 00:00:00+00:00,2,2,20,12
2026-07-04 00:00:00+00:00,7,6,18,7
2026-07-05 00:00:00+00:00,5,3,28,9
2026-07-06 00:00:00+00:00,10,8,5,3
2026-07-07 00:00:00+00:00,0,0,1,1
2026-07-08 00:00:00+00:00,1,1,2,2
2026-07-09 00:00:00+00:00,0,0,4,3
2026-07-10 00:00:00+00:00,0,0,1,1
2026-07-11 00:00:00+00:00,44,19,16,5
2026-07-12 00:00:00+00:00,5,5,12,5
2026-07-13 00:00:00+00:00,6,5,3,3
2026-07-14 00:00:00+00:00,6,4,5,5
2026-07-15 00:00:00+00:00,1,1,3,2
2026-07-16 00:00:00+00:00,3,2,6,4
2026-07-17 00:00:00+00:00,3,3,3,1
